,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82
11,785,1032,207,1361,626,314,472,1236,525,257,,1187,1378,215,351,95,374,447,563,406,1199,480,1050,996,1181,80,948,877,1039,1676,981,352,778,248,430,1383,462,616,457,483,138,433,110,953,393,873,1281,533,1297,576,635,835,1088,100,688,1385,641,765,379,703,1009,1119,1087,249,1513,537,281,522,1078,546,397,1298,1450,369,1345,1505,125,349,1011,874,168
12,631,337,1087,359,641,887,1188,371,1388,1411,1187,,192,1075,1156,1259,1538,918,759,1269,141,1570,141,272,177,1107,476,539,378,490,610,1127,702,1338,1418,382,892,569,1547,704,1227,875,1183,235,1398,457,236,1397,111,652,701,582,426,1190,718,287,859,479,1469,582,471,145,318,1199,327,699,1107,728,302,876,813,195,383,1072,407,501,1292,1007,517,539,1122
13,741,400,1278,237,832,1078,1291,545,1579,1602,1378,192,,1266,1347,1450,1729,1109,950,1460,204,1761,332,463,351,1298,525,713,552,323,719,1318,811,1529,1609,452,1082,760,1738,895,1418,1066,1374,426,1589,562,281,1588,81,843,892,756,600,1381,909,95,1050,670,1660,773,646,336,381,1390,159,890,1298,919,476,1034,1004,133,191,1263,484,336,1483,1198,580,648,1313
14,688,920,417,1146,411,190,682,1021,735,433,215,1075,1266,,561,271,551,233,348,616,1086,495,937,781,966,290,835,662,824,1564,884,563,681,263,606,1168,247,504,471,371,152,455,321,840,569,760,1168,743,1185,463,544,620,873,115,473,1273,426,630,394,521,794,904,974,459,1378,402,158,420,863,566,262,1186,1338,176,1130,1290,217,134,899,777,47
15,647,984,166,1391,761,421,121,1390,286,393,351,1156,1347,561,,422,586,563,670,167,1167,826,1018,1026,1212,300,863,1031,1130,1555,843,29,578,594,388,1414,669,582,803,536,483,295,240,921,368,841,1196,240,1265,503,530,988,1242,446,842,1353,840,778,725,810,1163,1150,1002,169,1481,644,627,427,1151,408,504,1266,1366,682,1433,1535,489,613,899,736,514
16,856,1104,278,1417,682,385,543,1292,441,152,95,1259,1450,271,422,,270,504,634,435,1270,428,1121,1052,1237,152,1020,933,1095,1748,1052,423,849,244,325,1440,518,688,443,555,131,504,182,1024,288,944,1352,539,1369,648,706,891,1144,156,744,1457,697,836,379,775,1065,1175,1158,320,1585,609,337,594,1134,617,468,1370,1522,425,1401,1561,69,405,1083,945,225
17,1093,1383,515,1696,962,665,693,1571,448,192,374,1538,1729,551,586,270,,783,914,473,1550,231,1401,1331,1517,431,1299,1212,1374,2027,1290,588,1087,314,327,1719,797,967,245,834,398,741,419,1304,328,1224,1632,547,1648,927,986,1170,1423,436,1023,1736,977,1116,181,1054,1344,1454,1438,418,1864,888,617,873,1414,854,748,1649,1801,705,1681,1840,335,684,1345,1183,504
18,590,762,398,985,245,131,685,881,737,666,447,918,1109,233,563,504,783,,155,619,929,727,780,620,806,376,678,522,684,1406,776,525,583,495,729,1008,106,346,704,214,385,354,455,683,709,603,1011,746,1027,306,386,480,733,347,333,1116,276,442,626,333,654,743,817,510,1218,245,292,322,703,465,104,1028,1180,278,990,1129,450,192,741,679,279
19,582,697,504,830,91,240,732,720,844,785,563,759,950,348,670,634,914,155,,725,770,843,602,465,651,483,613,361,523,1248,711,632,575,611,835,853,192,281,820,221,501,419,561,524,815,538,865,853,869,295,375,319,572,463,172,957,265,287,742,178,493,589,752,616,1063,108,408,330,548,530,169,870,1063,373,829,974,566,308,676,640,395
20,761,1098,221,1505,816,476,226,1445,124,285,406,1269,1460,616,167,435,473,619,725,,1280,702,1131,1140,1325,355,977,1086,1248,1668,957,169,695,649,226,1528,724,696,716,646,539,409,296,1034,206,954,1310,150,1379,617,643,1044,1297,501,897,1467,895,891,652,866,1218,1263,1116,153,1594,700,682,541,1264,522,559,1380,1479,738,1546,1649,501,669,1012,850,570
21,537,196,1098,441,703,898,1087,509,1399,1422,1199,141,204,1086,1167,1270,1550,929,770,1280,,1581,152,407,315,1119,321,677,516,527,515,1138,607,1349,1429,520,957,581,1558,715,1239,887,1195,246,1409,358,94,1408,249,664,713,720,564,1201,832,187,957,490,1480,594,610,280,177,1210,363,710,1162,740,440,829,824,99,293,1138,545,540,1304,1073,375,444,1133
22,1183,1415,682,1641,906,685,922,1516,667,419,480,1570,1761,495,826,428,231,727,843,702,1581,,1432,1276,1461,555,1330,1157,1319,2059,1379,828,1176,232,546,1663,741,998,67,866,345,908,586,1335,556,1255,1663,766,1679,958,1039,1114,1368,380,968,1768,921,1125,148,1016,1289,1399,1469,642,1873,897,561,915,1358,1021,757,1681,1833,649,1625,1785,410,629,1394,1272,448
23,494,283,949,499,535,749,1051,511,1250,1273,1050,141,332,937,1018,1121,1401,780,602,1131,152,1432,,267,317,970,338,558,397,630,472,989,564,1200,1280,522,789,432,1409,566,1090,738,1046,97,1260,319,247,1259,251,515,564,601,560,1052,664,339,789,322,1331,426,491,140,318,1061,466,542,1014,591,395,739,675,252,445,970,546,640,1155,905,402,401,984
24,676,546,955,370,375,690,1059,376,1259,1214,996,272,463,781,1026,1052,1331,620,465,1140,407,1276,267,,191,933,602,297,136,798,748,998,747,1044,1286,393,625,451,1252,575,933,746,1012,361,1266,575,501,1267,381,523,572,340,299,896,451,558,593,253,1174,309,229,128,573,1067,603,476,840,599,157,747,620,467,654,806,412,514,998,741,665,677,827
25,807,511,1140,182,560,876,1244,194,1444,1399,1181,177,351,966,1212,1237,1517,806,651,1325,315,1461,317,191,,1118,652,362,201,610,786,1183,878,1229,1471,205,810,636,1438,760,1118,932,1197,411,1451,633,410,1453,270,709,757,405,249,1081,551,447,712,438,1360,494,294,239,492,1252,415,661,1026,785,125,933,805,369,543,991,230,326,1184,926,691,715,1013
26,690,952,140,1298,573,233,421,1202,474,303,80,1107,1298,290,300,152,431,376,483,355,1119,555,970,933,1118,,868,843,1005,1596,886,301,683,323,412,1321,482,536,532,403,213,337,79,872,392,792,1200,482,1217,496,555,801,1054,176,654,1305,652,684,454,623,975,1056,1006,217,1433,457,356,442,1057,451,316,1218,1370,444,1339,1442,219,426,931,779,244
27,216,151,794,762,576,647,766,846,1096,1118,948,476,525,835,863,1020,1299,678,613,977,321,1330,338,602,652,868,,689,754,691,194,835,286,1098,1125,857,784,330,1307,464,988,574,891,241,1106,78,333,1075,586,413,423,681,884,950,705,499,829,402,1229,466,806,475,139,906,684,529,912,484,730,509,574,412,502,930,881,860,1053,861,63,123,882
28,716,698,865,542,320,601,1092,359,1205,1095,877,539,713,662,1031,933,1212,522,361,1086,677,1157,558,297,362,843,689,,162,969,787,993,786,925,1196,564,485,490,1133,582,814,779,922,532,1176,614,772,1213,632,562,611,43,211,777,189,808,350,292,1055,257,132,420,781,977,774,469,698,690,237,787,530,731,904,665,468,686,879,597,753,716,708
29,780,677,1027,380,436,763,1163,312,1367,1257,1039,378,552,824,1130,1095,1374,684,523,1248,516,1319,397,136,201,1005,754,162,,808,851,1101,850,1087,1358,403,647,554,1295,678,976,850,1084,491,1338,678,611,1375,471,627,676,205,164,939,351,647,512,356,1217,370,94,259,703,1139,613,580,860,703,76,851,692,570,743,827,422,524,1041,759,817,780,870
30,907,653,1486,428,1168,1376,1457,753,1787,1810,1676,490,323,1564,1555,1748,2027,1406,1248,1668,527,2059,630,798,610,1596,691,969,808,,886,1526,977,1827,1817,552,1418,1058,2035,1193,1716,1265,1582,724,1797,769,387,1766,379,1141,1115,1012,857,1679,1158,290,1319,968,1957,1071,902,633,546,1598,195,1188,1633,1176,732,1200,1302,456,191,1598,639,417,1781,1533,746,815,1610
31,196,316,774,956,673,688,746,980,1075,1098,981,610,719,884,843,1052,1290,776,711,957,515,1379,472,748,786,886,194,787,851,886,,814,266,1147,1105,991,882,428,1355,562,1036,553,871,375,1085,176,527,1055,719,483,403,779,982,999,802,693,927,499,1278,564,903,609,333,886,878,626,960,464,872,488,671,607,697,979,1015,1055,1101,910,146,127,931
32,618,956,167,1363,723,383,131,1352,288,395,352,1127,1318,563,29,423,588,525,632,169,1138,828,989,998,1183,301,835,993,1101,1526,814,,566,595,390,1385,631,553,804,507,485,266,242,892,370,812,1167,269,1236,474,501,951,1204,448,804,1325,802,749,726,772,1125,1121,973,170,1452,607,629,398,1122,379,466,1237,1337,645,1404,1506,491,576,870,707,516
33,70,407,571,1048,635,485,469,1072,814,895,778,702,811,681,578,849,1087,583,575,695,607,1176,564,747,878,683,286,786,850,977,266,566,,944,902,1082,689,328,1152,369,833,350,668,467,882,268,619,778,811,280,200,777,981,796,746,785,859,498,1074,562,902,700,425,683,970,482,757,261,871,233,479,698,788,776,1107,1147,898,707,322,159,727
34,951,1182,450,1409,674,453,715,1284,681,393,248,1338,1529,263,594,244,314,495,611,649,1349,232,1200,1044,1229,323,1098,925,1087,1827,1147,595,944,,566,1431,509,766,209,634,113,676,354,1103,529,1023,1431,776,1447,726,807,882,1135,148,736,1536,689,893,131,784,1057,1167,1237,492,1641,665,329,683,1126,789,525,1449,1601,417,1393,1552,178,396,1162,1040,216
35,909,1247,331,1651,926,586,447,1555,128,175,430,1418,1609,606,388,325,327,729,835,226,1429,546,1280,1286,1471,412,1125,1196,1358,1817,1105,390,902,566,,1673,835,844,560,756,453,557,334,1183,37,1103,1458,226,1527,765,792,1154,1407,491,1007,1616,1005,1037,496,976,1328,1409,1264,215,1743,810,672,689,1410,670,669,1528,1628,760,1692,1795,391,740,1161,998,560
36,1012,716,1342,214,762,1078,1447,203,1646,1601,1383,382,452,1168,1414,1440,1719,1008,853,1528,520,1663,522,393,205,1321,857,564,403,552,991,1385,1082,1431,1673,,1012,838,1640,962,1321,1134,1399,615,1653,837,615,1655,347,911,960,607,344,1283,753,547,914,640,1562,696,422,441,697,1454,357,864,1228,987,327,1135,1007,585,643,1193,89,135,1386,1128,896,919,1215
37,696,868,504,990,255,237,790,844,843,680,462,892,1082,247,669,518,797,106,192,724,957,741,789,625,810,482,784,485,647,1418,882,631,689,509,835,1012,,452,718,319,399,460,567,711,816,709,1051,852,1001,412,492,443,696,361,296,1144,181,474,640,365,617,748,923,615,1223,299,213,428,722,571,210,1056,1286,181,954,1134,464,113,847,785,293
