ID,name,latitude,longitude,F,P,L,E,C,cost
51,Niğde,38.0664691,34.7051438,0.108930076176493,0.7478226180042677,0.2530412610732011,0.4977461858529818,0.5308564231738034,132090869.9731246
52,Ordu,40.8292569,37.4082764,0.01194434551749804,0.6004940742772236,0.4274509435508497,0.1338969382316216,0.3261964735516372,166549962.7506754
53,Rize,40.9569617,40.884428,0.0,0.5503268920436335,0.282667021792479,0.1804785020804437,0.3268261964735515,126909072.2191028
54,Sakarya,40.7726291,30.4038575,0.05238439206341149,0.2535763551308431,0.4982779404678523,0.2659350222844176,0.3136020151133501,285689754.0468929
55,Samsun,41.2303557,35.9683338,0.09369253136834683,0.4688616900577125,0.5323557206037315,0.1571686058760928,0.3255667506297228,276531149.951819
56,Siirt,37.8646916,42.0510294,0.02044803551809275,0.362295364014278,0.1719496206486925,0.529368932038835,0.2191435768261963,113833762.374787
57,Sinop,41.6476377,34.9560137,0.02211335032130902,0.6644961230671035,0.2004337756866203,0.1747994827853665,0.343198992443325,107216784.6679029
58,Sivas,39.4191717,37.1012388,0.2938274624181248,0.4741673269156065,0.3712565334352291,0.4869419486609313,0.6643576826196473,166406561.0884759
59,Tekirdağ,41.0731403,27.4102013,0.1659401620898335,0.2228507736244385,0.5179772418006683,0.24257645039258,0.3532745591939547,355676857.2384123
60,Tokat,40.3891816,36.6315075,0.0744519089532516,0.1698124714530419,0.3779468404420462,0.2426522457033506,0.4584382871536524,141219782.5106825
61,Trabzon,41.0054605,39.7301463,0.002487077500901036,0.6702440342349063,0.4429790615577687,0.06948682385575596,0.3104534005037782,189128437.4606461
62,Tunceli,39.1060641,39.5482693,0.02744811778299785,0.2523729758513847,0.000552741339545385,0.4053744798890429,0.4395465994962217,95186896.58429646
63,Şanlıurfa,37.1596239,38.791929,0.5780859567870087,0.9401556342646356,0.5329029691153241,0.5323855755894591,0.07178841309823658,260027023.7053244
64,Uşak,38.5768902,29.3729779,0.08709655001859286,0.3643792581006542,0.2804924401349163,0.482754668644239,0.4559193954659949,137044769.7239333
65,Van,38.3249599,43.6589825,0.234037639315704,0.3521774986993288,0.4120073915839689,0.5482248773853394,0.630352644836272,166884028.5580352
66,Yozgat,39.7152422,35.170998,0.2260955113729536,0.7379798119773244,0.3022582742144171,0.4305478502080445,0.6580604534005038,128241070.70762
67,Zonguldak,41.250324,31.8389738,0.006335284628030841,0.5761027025446526,0.3645235408528283,0.1768377253814147,0.3860201511335012,161836938.4841484
68,Aksaray,38.4326291,33.8976963,0.2131435811011347,0.8635811757994447,0.2882253090951521,0.5093966712898751,0.4641057934508815,147883945.6776277
69,Bayburt,40.2023027,40.2121599,0.02149582463706237,0.4892608255174584,0.0,0.1888682037216791,0.7947103274559193,89801850.0
70,Karaman,37.1796848,33.3383665,0.1267973774369099,0.8908204422455377,0.2144035503500156,0.573501259000693,0.4874055415617128,126978070.96877
71,Kırıkkale,39.8410483,33.5058536,0.08100543226324151,0.6077541806944124,0.1965621792020706,0.433679463070731,0.4540302267002518,127015132.1310568
72,Batman,37.7874104,41.2573924,0.04131058933352248,0.4965746776597605,0.297326049597652,0.5450762829403606,0.2273299748110831,139300674.0329107
73,Şırnak,37.548722,42.3618788,0.04751539916001901,0.4622505707994836,0.2660045472900863,0.529368932038835,0.2858942065491183,146493955.0351767
74,Bartın,41.4947715,32.4354255,0.009145235062138801,0.606809863449743,0.1802887748355632,0.1868238557558947,0.4458438287153652,104394963.9038621
75,Ardahan,41.0372501,42.7462189,0.05225269058377544,0.3833573998296174,0.04412036577578655,0.1091192787794731,1.0,92638377.9744871
76,Iğdır,39.9218784,44.0467957,0.05873947521881379,0.3762437841806301,0.1441686648196298,0.4011095700416088,0.464735516372796,100205530.6190477
77,Yalova,40.5795422,29.1687005,0.001725232598977212,0.08824415099112959,0.2349546864652708,0.2929623195779608,0.3161209068010075,138780431.2808188
78,Karabük,41.1110349,32.6193901,0.01198662988477518,0.2736120381742229,0.1917486429855434,0.1868238557558947,0.4269521410579344,115139949.6949614
79,Kilis,36.7797231,37.1416892,0.02702938515363189,0.720733832580468,0.07163534139650632,0.6,0.1593198992443323,101024806.0301116
80,Osmaniye,37.2517882,36.2993502,0.04189620670590778,0.3408784877650194,0.2988210058847209,0.5235365130564367,0.09508816120906793,152008743.8132204
81,Düzce,40.8774545,31.2009618,0.01376932150216637,0.1817433888547244,0.3105343431021924,0.2366504854368932,0.4112090680100755,150508705.283838
