"İl, medeni durum ve cinsiyete göre nüfus, 2022-2023",,,,,,,,,,,,,,,,,,,,
"Population by province, marital status and sex, 2022-2023",,,,,,,,,,,,,,,,,,,,
[15 ve daha yukarı yaştaki nüfus-Population 15 years of age and over],,,,,,,,,,,,,,,,,,,,
"Yıl
Year",İl-Provinces,Toplam-Total,,,,Hiç evlenmedi-Never married,,,,Evli-Married,,,,Boşandı-Divorced,,,,Eşi öldü-Widowed,,
,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
,Manisa,1 190 365, 594 617, 595 748,, 276 946, 167 952, 108 994,, 773 479, 387 063, 386 416,, 55 639, 26 567, 29 072,, 84 301, 13 035, 71 266
,Kahramanmaraş, 833 767, 423 076, 410 691,, 226 675, 133 047, 93 628,, 538 828, 270 359, 268 469,, 27 326, 12 522, 14 804,, 40 938, 7 148, 33 790
,Mardin, 605 289, 301 348, 303 941,, 226 824, 120 556, 106 268,, 347 838, 174 187, 173 651,, 8 286, 3 444, 4 842,, 22 341, 3 161, 19 180
,Muğla, 887 189, 449 436, 437 753,, 220 144, 133 080, 87 064,, 547 215, 276 358, 270 857,, 69 039, 32 580, 36 459,, 50 791, 7 418, 43 373
,Muş, 273 308, 139 037, 134 271,, 100 207, 56 254, 43 953,, 160 109, 79 852, 80 257,, 2 472, 1 149, 1 323,, 10 520, 1 782, 8 738
,Nevşehir, 254 507, 124 182, 130 325,, 63 320, 34 552, 28 768,, 162 264, 81 635, 80 629,, 11 737, 5 384, 6 353,, 17 186, 2 611, 14 575
,Niğde, 295 371, 147 020, 148 351,, 79 409, 45 243, 34 166,, 185 869, 93 727, 92 142,, 11 639, 5 421, 6 218,, 18 454, 2 629, 15 825
,Ordu, 640 027, 316 811, 323 216,, 145 058, 83 319, 61 739,, 421 237, 212 621, 208 616,, 23 469, 11 955, 11 514,, 50 263, 8 916, 41 347
,Rize, 290 364, 144 403, 145 961,, 82 222, 46 953, 35 269,, 176 014, 89 772, 86 242,, 9 030, 4 727, 4 303,, 23 098, 2 951, 20 147
,Sakarya, 877 025, 436 963, 440 062,, 238 779, 137 501, 101 278,, 545 531, 273 493, 272 038,, 38 502, 17 749, 20 753,, 54 213, 8 220, 45 993
,Samsun,1 121 269, 550 163, 571 106,, 287 046, 160 709, 126 337,, 708 392, 353 963, 354 429,, 48 486, 22 073, 26 413,, 77 345, 13 418, 63 927
,Siirt, 240 611, 126 228, 114 383,, 95 934, 54 986, 40 948,, 134 008, 69 054, 64 954,, 2 239, 1 010, 1 229,, 8 430, 1 178, 7 252
,Sinop, 194 398, 96 111, 98 287,, 44 159, 24 872, 19 287,, 124 109, 63 480, 60 629,, 8 416, 4 404, 4 012,, 17 714, 3 355, 14 359
,Sivas, 527 924, 262 235, 265 689,, 148 422, 82 852, 65 570,, 324 649, 164 470, 160 179,, 17 377, 8 650, 8 727,, 37 476, 6 263, 31 213
,Tekirdağ, 928 984, 472 865, 456 119,, 231 257, 142 685, 88 572,, 597 713, 299 367, 298 346,, 48 086, 22 528, 25 558,, 51 928, 8 285, 43 643
,Tokat, 498 904, 245 602, 253 302,, 124 616, 70 456, 54 160,, 317 245, 159 741, 157 504,, 16 738, 8 568, 8 170,, 40 305, 6 837, 33 468
,Trabzon, 671 713, 330 855, 340 858,, 189 171, 105 047, 84 124,, 416 155, 209 693, 206 462,, 20 138, 9 326, 10 812,, 46 249, 6 789, 39 460
,Tunceli, 76 747, 40 614, 36 133,, 23 740, 14 350, 9 390,, 43 503, 23 092, 20 411,, 4 348, 2 331, 2 017,, 5 156,  841, 4 315
,Şanlıurfa,1 376 807, 688 402, 688 405,, 488 428, 263 099, 225 329,, 821 396, 410 643, 410 753,, 21 720, 8 679, 13 041,, 45 263, 5 981, 39 282
,Uşak, 310 756, 153 001, 157 755,, 72 638, 41 078, 31 560,, 199 469, 100 006, 99 463,, 17 495, 8 269, 9 226,, 21 154, 3 648, 17 506
,Van, 778 955, 397 436, 381 519,, 284 668, 160 753, 123 915,, 457 630, 228 630, 229 000,, 8 457, 3 671, 4 786,, 28 200, 4 382, 23 818
,Yozgat, 343 281, 170 388, 172 893,, 87 484, 49 107, 38 377,, 218 085, 110 809, 107 276,, 12 096, 6 475, 5 621,, 25 616, 3 997, 21 619
,Zonguldak, 498 785, 246 444, 252 341,, 126 114, 71 559, 54 555,, 311 093, 156 706, 154 387,, 24 725, 12 129, 12 596,, 36 853, 6 050, 30 803
,Aksaray, 336 779, 167 085, 169 694,, 87 426, 49 527, 37 899,, 215 596, 108 232, 107 364,, 15 185, 6 782, 8 403,, 18 572, 2 544, 16 028
,Bayburt, 70 329, 35 613, 34 716,, 24 776, 13 697, 11 079,, 40 020, 20 491, 19 529,, 1 344,  714,  630,, 4 189,  711, 3 478
,Karaman, 209 961, 103 825, 106 136,, 56 300, 31 585, 24 715,, 130 807, 65 663, 65 144,, 10 017, 4 651, 5 366,, 12 837, 1 926, 10 911
,Kırıkkale, 236 387, 117 216, 119 171,, 63 379, 35 979, 27 400,, 144 422, 73 036, 71 386,, 11 708, 5 767, 5 941,, 16 878, 2 434, 14 444
,Batman, 444 843, 224 309, 220 534,, 175 171, 94 979, 80 192,, 249 410, 124 960, 124 450,, 5 566, 2 329, 3 237,, 14 696, 2 041, 12 655
,Şırnak, 378 632, 201 067, 177 565,, 166 693, 95 306, 71 387,, 198 220, 102 862, 95 358,, 3 372, 1 666, 1 706,, 10 347, 1 233, 9 114
,Bartın, 175 988, 87 022, 88 966,, 43 753, 24 563, 19 190,, 110 976, 56 185, 54 791,, 7 636, 3 897, 3 739,, 13 623, 2 377, 11 246
,Ardahan, 75 194, 39 190, 36 004,, 21 590, 13 284, 8 306,, 46 143, 23 681, 22 462,, 1 738, 1 084,  654,, 5 723, 1 141, 4 582
,Iğdır, 153 880, 81 092, 72 788,, 53 746, 32 427, 21 319,, 88 648, 45 495, 43 153,, 4 478, 2 168, 2 310,, 7 008, 1 002, 6 006
,Yalova, 246 917, 122 533, 124 384,, 68 576, 39 463, 29 113,, 148 013, 74 303, 73 710,, 15 368, 6 658, 8 710,, 14 960, 2 109, 12 851
,Karabük, 216 794, 108 571, 108 223,, 66 147, 37 861, 28 286,, 126 054, 63 625, 62 429,, 9 069, 4 539, 4 530,, 15 524, 2 546, 12 978
,Kilis, 113 315, 56 723, 56 592,, 34 456, 18 767, 15 689,, 69 536, 35 616, 33 920,, 3 152, 1 473, 1 679,, 6 171,  867, 5 304
,Osmaniye, 421 026, 210 220, 210 806,, 117 420, 66 953, 50 467,, 266 383, 132 896, 133 487,, 14 624, 6 895, 7 729,, 22 599, 3 476, 19 123
,Düzce, 329 659, 163 708, 165 951,, 87 679, 49 919, 37 760,, 205 622, 103 374, 102 248,, 14 944, 7 271, 7 673,, 21 414, 3 144, 18 270
2022,Toplam-Total,66 544 442,33 091 390,33 453 052,,19 019 325,10 797 799,8 221 526,,40 772 417,20 412 021,20 360 396,,3 059 626,1 343 950,1 715 676,,3 693 074, 537 620,3 155 454
,Adana,1 734 859, 860 854, 874 005,, 501 353, 285 179, 216 174,,1 044 296, 521 299, 522 997,, 94 040, 40 999, 53 041,, 95 170, 13 377, 81 793
,Adıyaman, 457 552, 229 221, 228 331,, 139 805, 78 970, 60 835,, 287 229, 143 105, 144 124,, 9 433, 3 980, 5 453,, 21 085, 3 166, 17 919
,Afyonkarahisar, 591 863, 293 557, 298 306,, 142 831, 81 665, 61 166,, 385 939, 194 455, 191 484,, 21 407, 10 670, 10 737,, 41 686, 6 767, 34 919
,Ağrı, 342 217, 178 410, 163 807,, 122 051, 72 873, 49 178,, 202 571, 101 406, 101 165,, 3 593, 1 822, 1 771,, 14 002, 2 309, 11 693
,Amasya, 279 048, 138 514, 140 534,, 67 419, 39 549, 27 870,, 179 074, 90 348, 88 726,, 9 845, 4 885, 4 960,, 22 710, 3 732, 18 978
,Ankara,4 644 055,2 272 286,2 371 769,,1 305 143, 722 118, 583 025,,2 836 580,1 411 060,1 425 520,, 267 983, 108 731, 159 252,, 234 349, 30 377, 203 972
,Antalya,2 140 395,1 069 847,1 070 548,, 587 691, 334 959, 252 732,,1 307 007, 656 708, 650 299,, 148 280, 64 523, 83 757,, 97 417, 13 657, 83 760
,Artvin, 142 849, 71 382, 71 467,, 37 992, 21 865, 16 127,, 88 311, 45 150, 43 161,, 4 085, 2 313, 1 772,, 12 461, 2 054, 10 407
,Aydın, 938 069, 461 354, 476 715,, 222 937, 130 600, 92 337,, 587 108, 294 009, 293 099,, 59 192, 27 235, 31 957,, 68 832, 9 510, 59 322
,Balıkesir,1 055 017, 522 336, 532 681,, 229 550, 139 269, 90 281,, 676 998, 340 604, 336 394,, 60 460, 28 574, 31 886,, 88 009, 13 889, 74 120
,Bilecik, 187 159, 96 441, 90 718,, 49 510, 30 772, 18 738,, 117 284, 59 675, 57 609,, 7 362, 3 811, 3 551,, 13 003, 2 183, 10 820
,Bingöl, 210 326, 105 575, 104 751,, 73 022, 39 923, 33 099,, 124 673, 62 766, 61 907,, 2 912, 1 332, 1 580,, 9 719, 1 554, 8 165
,Bitlis, 244 522, 126 627, 117 895,, 87 125, 50 389, 36 736,, 145 708, 73 520, 72 188,, 2 085, 1 038, 1 047,, 9 604, 1 680, 7 924
,Bolu, 266 432, 130 695, 135 737,, 70 517, 38 538, 31 979,, 166 628, 83 953, 82 675,, 10 506, 5 015, 5 491,, 18 781, 3 189, 15 592
,Burdur, 229 711, 113 848, 115 863,, 57 797, 33 657, 24 140,, 144 887, 73 150, 71 737,, 9 197, 4 486, 4 711,, 17 830, 2 555, 15 275
,Bursa,2 530 248,1 254 002,1 276 246,, 640 608, 372 094, 268 514,,1 622 844, 809 511, 813 333,, 117 045, 50 496, 66 549,, 149 751, 21 901, 127 850
,Çanakkale, 472 766, 234 962, 237 804,, 112 220, 66 820, 45 400,, 297 725, 150 117, 147 608,, 24 793, 12 118, 12 675,, 38 028, 5 907, 32 121
,Çankırı, 162 288, 81 347, 80 941,, 38 552, 22 014, 16 538,, 105 273, 54 239, 51 034,, 5 199, 2 739, 2 460,, 13 264, 2 355, 10 909
,Çorum, 429 025, 211 470, 217 555,, 94 725, 54 879, 39 846,, 282 814, 142 687, 140 127,, 16 299, 8 157, 8 142,, 35 187, 5 747, 29 440
